0
{'Topic - concise(1,NaN)': 0.6, 'Topic - broken down (1,NaN)': 0.75, '1 Goal (1,NaN)': 0.45, '2 Goals (1,NaN)': 0.75, '>2 Goals (1,NaN)': 0.4, 'AI role play (1,NaN)': 0.55, 'Role form/context(1,NaN)': 0.6, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.35, 'Complex sentence structure (1,NaN)': 0.45, 'ActAsPersona- Persona Pattern (1,Nan)': 0.6, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.3, 'PatternOrder- Persona Pattern (1,Nan)': 0.5, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.65, 'Feature 2: ConditionStop-FlippedPattern': 0.65, 'Feature 3: Form-FlippedPattern:': 0.5, 'run': 'output\\chatgpt_evaluation_log_2shots.tsv'}
{'Topic - concise(1,NaN)': 0.65, 'Topic - broken down (1,NaN)': 0.65, '1 Goal (1,NaN)': 0.2, '2 Goals (1,NaN)': 0.8, '>2 Goals (1,NaN)': 0.6, 'AI role play (1,NaN)': 0.4, 'Role form/context(1,NaN)': 0.5, 'Meta Process-related (1,NaN)': 0.55, 'Simple sentence structure (1,NaN)': 0.55, 'Complex sentence structure (1,NaN)': 0.6, 'ActAsPersona- Persona Pattern (1,Nan)': 0.65, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.15, 'PatternOrder- Persona Pattern (1,Nan)': 0.6, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.65, 'Feature 1: AskMeQuestions-FlippedPattern': 0.85, 'Feature 2: ConditionStop-FlippedPattern': 0.75, 'Feature 3: Form-FlippedPattern:': 0.7, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_20230923-154133.tsv'}
{'Topic - concise(1,NaN)': 0.65, 'Topic - broken down (1,NaN)': 0.65, '1 Goal (1,NaN)': 0.15, '2 Goals (1,NaN)': 0.85, '>2 Goals (1,NaN)': 0.65, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.45, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.7, 'Complex sentence structure (1,NaN)': 0.7, 'ActAsPersona- Persona Pattern (1,Nan)': 0.75, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.05, 'PatternOrder- Persona Pattern (1,Nan)': 0.55, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.95, 'Feature 2: ConditionStop-FlippedPattern': 0.65, 'Feature 3: Form-FlippedPattern:': 0.7, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_20230923-231007.tsv'}
{'Topic - concise(1,NaN)': 0.75, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.1, '2 Goals (1,NaN)': 0.85, '>2 Goals (1,NaN)': 0.6, 'AI role play (1,NaN)': 0.5, 'Role form/context(1,NaN)': 0.45, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.75, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.75, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.5, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.7, 'Feature 1: AskMeQuestions-FlippedPattern': 0.9, 'Feature 2: ConditionStop-FlippedPattern': 0.65, 'Feature 3: Form-FlippedPattern:': 0.6, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_20230923-231502.tsv'}
{'Topic - concise(1,NaN)': 0.75, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.0, '2 Goals (1,NaN)': 0.75, '>2 Goals (1,NaN)': 0.55, 'AI role play (1,NaN)': 0.5, 'Role form/context(1,NaN)': 0.55, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.6, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.75, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.45, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.7, 'Feature 1: AskMeQuestions-FlippedPattern': 0.95, 'Feature 2: ConditionStop-FlippedPattern': 0.65, 'Feature 3: Form-FlippedPattern:': 0.7, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_20230923-231918.tsv'}
{'Topic - concise(1,NaN)': 0.65, 'Topic - broken down (1,NaN)': 0.65, '1 Goal (1,NaN)': 0.05, '2 Goals (1,NaN)': 0.85, '>2 Goals (1,NaN)': 0.5, 'AI role play (1,NaN)': 0.5, 'Role form/context(1,NaN)': 0.5, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.5, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.7, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.15, 'PatternOrder- Persona Pattern (1,Nan)': 0.55, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.65, 'Feature 1: AskMeQuestions-FlippedPattern': 0.95, 'Feature 2: ConditionStop-FlippedPattern': 0.65, 'Feature 3: Form-FlippedPattern:': 0.6, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_20230923-232337.tsv'}
{'Topic - concise(1,NaN)': 0.75, 'Topic - broken down (1,NaN)': 0.75, '1 Goal (1,NaN)': 0.15, '2 Goals (1,NaN)': 0.9, '>2 Goals (1,NaN)': 0.6, 'AI role play (1,NaN)': 0.5, 'Role form/context(1,NaN)': 0.45, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.55, 'Complex sentence structure (1,NaN)': 0.6, 'ActAsPersona- Persona Pattern (1,Nan)': 0.75, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.5, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.65, 'Feature 1: AskMeQuestions-FlippedPattern': 0.85, 'Feature 2: ConditionStop-FlippedPattern': 0.6, 'Feature 3: Form-FlippedPattern:': 0.6, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_20230923-232751.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.05, '2 Goals (1,NaN)': 0.85, '>2 Goals (1,NaN)': 0.6, 'AI role play (1,NaN)': 0.5, 'Role form/context(1,NaN)': 0.4, 'Meta Process-related (1,NaN)': 0.55, 'Simple sentence structure (1,NaN)': 0.65, 'Complex sentence structure (1,NaN)': 0.7, 'ActAsPersona- Persona Pattern (1,Nan)': 0.6, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.05, 'PatternOrder- Persona Pattern (1,Nan)': 0.5, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.65, 'Feature 1: AskMeQuestions-FlippedPattern': 0.95, 'Feature 2: ConditionStop-FlippedPattern': 0.6, 'Feature 3: Form-FlippedPattern:': 0.6, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_20230923-233205.tsv'}
{'Topic - concise(1,NaN)': 0.65, 'Topic - broken down (1,NaN)': 0.65, '1 Goal (1,NaN)': 0.15, '2 Goals (1,NaN)': 0.8, '>2 Goals (1,NaN)': 0.55, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.45, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.55, 'Complex sentence structure (1,NaN)': 0.7, 'ActAsPersona- Persona Pattern (1,Nan)': 0.75, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.15, 'PatternOrder- Persona Pattern (1,Nan)': 0.55, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.9, 'Feature 2: ConditionStop-FlippedPattern': 0.65, 'Feature 3: Form-FlippedPattern:': 0.65, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_20230923-233621.tsv'}
{'Topic - concise(1,NaN)': 0.75, 'Topic - broken down (1,NaN)': 0.65, '1 Goal (1,NaN)': 0.05, '2 Goals (1,NaN)': 0.9, '>2 Goals (1,NaN)': 0.65, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.45, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.65, 'Complex sentence structure (1,NaN)': 0.6, 'ActAsPersona- Persona Pattern (1,Nan)': 0.7, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.55, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.65, 'Feature 1: AskMeQuestions-FlippedPattern': 0.85, 'Feature 2: ConditionStop-FlippedPattern': 0.65, 'Feature 3: Form-FlippedPattern:': 0.65, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_20230923-234036.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.65, '1 Goal (1,NaN)': 0.1, '2 Goals (1,NaN)': 0.9, '>2 Goals (1,NaN)': 0.55, 'AI role play (1,NaN)': 0.5, 'Role form/context(1,NaN)': 0.45, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.7, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.6, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.05, 'PatternOrder- Persona Pattern (1,Nan)': 0.55, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.85, 'Feature 2: ConditionStop-FlippedPattern': 0.65, 'Feature 3: Form-FlippedPattern:': 0.65, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_20230923-234451.tsv'}
{'Topic - concise(1,NaN)': 0.75, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.15, '2 Goals (1,NaN)': 0.85, '>2 Goals (1,NaN)': 0.55, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.45, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.6, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.7, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.05, 'PatternOrder- Persona Pattern (1,Nan)': 0.5, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.7, 'Feature 1: AskMeQuestions-FlippedPattern': 0.95, 'Feature 2: ConditionStop-FlippedPattern': 0.7, 'Feature 3: Form-FlippedPattern:': 0.65, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_20230923-234904.tsv'}
{'Topic - concise(1,NaN)': 0.8, 'Topic - broken down (1,NaN)': 0.65, '1 Goal (1,NaN)': 0.1, '2 Goals (1,NaN)': 0.85, '>2 Goals (1,NaN)': 0.6, 'AI role play (1,NaN)': 0.5, 'Role form/context(1,NaN)': 0.45, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.65, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.6, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.05, 'PatternOrder- Persona Pattern (1,Nan)': 0.6, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.65, 'Feature 1: AskMeQuestions-FlippedPattern': 0.85, 'Feature 2: ConditionStop-FlippedPattern': 0.7, 'Feature 3: Form-FlippedPattern:': 0.65, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_20230923-235318.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.65, '1 Goal (1,NaN)': 0.1, '2 Goals (1,NaN)': 0.85, '>2 Goals (1,NaN)': 0.55, 'AI role play (1,NaN)': 0.5, 'Role form/context(1,NaN)': 0.5, 'Meta Process-related (1,NaN)': 0.55, 'Simple sentence structure (1,NaN)': 0.65, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.65, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.5, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.9, 'Feature 2: ConditionStop-FlippedPattern': 0.65, 'Feature 3: Form-FlippedPattern:': 0.75, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_annotation_file_new_majority_annotations_20230924-010421.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.7, '1 Goal (1,NaN)': 0.1, '2 Goals (1,NaN)': 0.9, '>2 Goals (1,NaN)': 0.6, 'AI role play (1,NaN)': 0.5, 'Role form/context(1,NaN)': 0.45, 'Meta Process-related (1,NaN)': 0.65, 'Simple sentence structure (1,NaN)': 0.6, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.8, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.5, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.9, 'Feature 2: ConditionStop-FlippedPattern': 0.65, 'Feature 3: Form-FlippedPattern:': 0.75, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_annotation_file_new_majority_annotations_20230924-010836.tsv'}
{'Topic - concise(1,NaN)': 0.8, 'Topic - broken down (1,NaN)': 0.65, '1 Goal (1,NaN)': 0.05, '2 Goals (1,NaN)': 0.85, '>2 Goals (1,NaN)': 0.65, 'AI role play (1,NaN)': 0.5, 'Role form/context(1,NaN)': 0.5, 'Meta Process-related (1,NaN)': 0.55, 'Simple sentence structure (1,NaN)': 0.7, 'Complex sentence structure (1,NaN)': 0.65, 'ActAsPersona- Persona Pattern (1,Nan)': 0.7, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.45, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.65, 'Feature 1: AskMeQuestions-FlippedPattern': 0.9, 'Feature 2: ConditionStop-FlippedPattern': 0.7, 'Feature 3: Form-FlippedPattern:': 0.6, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_annotation_file_new_majority_annotations_20230924-011250.tsv'}
{'Topic - concise(1,NaN)': 0.8, 'Topic - broken down (1,NaN)': 0.75, '1 Goal (1,NaN)': 0.1, '2 Goals (1,NaN)': 0.9, '>2 Goals (1,NaN)': 0.6, 'AI role play (1,NaN)': 0.45, 'Role form/context(1,NaN)': 0.45, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.7, 'Complex sentence structure (1,NaN)': 0.7, 'ActAsPersona- Persona Pattern (1,Nan)': 0.65, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.05, 'PatternOrder- Persona Pattern (1,Nan)': 0.55, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.6, 'Feature 1: AskMeQuestions-FlippedPattern': 0.9, 'Feature 2: ConditionStop-FlippedPattern': 0.7, 'Feature 3: Form-FlippedPattern:': 0.6, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_annotation_file_new_majority_annotations_20230924-011705.tsv'}
{'Topic - concise(1,NaN)': 0.7, 'Topic - broken down (1,NaN)': 0.65, '1 Goal (1,NaN)': 0.25, '2 Goals (1,NaN)': 0.9, '>2 Goals (1,NaN)': 0.55, 'AI role play (1,NaN)': 0.5, 'Role form/context(1,NaN)': 0.5, 'Meta Process-related (1,NaN)': 0.6, 'Simple sentence structure (1,NaN)': 0.6, 'Complex sentence structure (1,NaN)': 0.7, 'ActAsPersona- Persona Pattern (1,Nan)': 0.65, 'ProvideOutPuts- Persona Pattern (1,Nan)': 0.1, 'PatternOrder- Persona Pattern (1,Nan)': 0.55, 'StrictSeparationRoleVsOutput- Persona Pattern (1,Nan)': 0.65, 'Feature 1: AskMeQuestions-FlippedPattern': 0.9, 'Feature 2: ConditionStop-FlippedPattern': 0.7, 'Feature 3: Form-FlippedPattern:': 0.65, 'run': 'output\\gpt-3.5-turbo-instruct_evaluation_log_2shots_promptgen_2_features_file_features_new_annotation_file_new_majority_annotations_20230924-012125.tsv'}
